# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.071561550568e-01       4.350806606579e+03 
       1.104241719395e-01       4.189080005354e+03 
       1.136943217502e-01       4.059778137396e+03 
       1.169657735533e-01       3.954933236296e+03 
       1.202380209775e-01       3.865902799474e+03 
       1.235107557937e-01       3.784145335610e+03 
       1.267837904499e-01       3.702045266064e+03 
       1.300570107926e-01       3.613468741969e+03 
       1.333303472779e-01       3.514272799717e+03 
       1.366037574685e-01       3.402862774609e+03 
       1.398772153984e-01       3.279452861329e+03 
       1.431507051153e-01       3.146287266955e+03 
       1.464242167589e-01       3.007047263187e+03 
       1.496977441802e-01       2.866173295872e+03 
       1.529712834954e-01       2.728223415585e+03 
       1.562448322068e-01       2.597343058209e+03 
       1.595183886692e-01       2.476875006960e+03 
       1.627919517643e-01       2.369105147145e+03 
       1.660655207028e-01       2.275171819319e+03 
       1.693390949033e-01       2.195108398374e+03 
       1.726126739179e-01       2.127965713864e+03 
       1.758862573867e-01       2.072006729610e+03 
       1.791598450094e-01       2.024933655923e+03 
       1.824334365275e-01       1.984140106327e+03 
       1.857070317135e-01       1.946979013824e+03 
       1.889806303627e-01       1.911441344394e+03 
       1.922542322896e-01       1.874830812494e+03 
       1.955278373236e-01       1.835461979074e+03 
       1.988014453072e-01       1.792305007498e+03 
       2.020750560943e-01       1.745045402228e+03 
       2.053486695487e-01       1.694072892308e+03 
       2.086222855433e-01       1.640325335418e+03 
       2.118959039591e-01       1.585104554947e+03 
       2.151695246844e-01       1.529843987934e+03 
       2.184431476147e-01       1.475916638882e+03 
       2.217167726513e-01       1.424498610839e+03 
       2.249903997017e-01       1.376511883922e+03 
       2.282640286785e-01       1.332580778079e+03 
       2.315376594995e-01       1.293040199170e+03 
       2.348112920870e-01       1.257938111556e+03 
       2.380849263675e-01       1.227041614583e+03 
       2.413585622718e-01       1.199869104270e+03 
       2.446321997343e-01       1.175730800524e+03 
       2.479058386927e-01       1.153809256243e+03 
       2.511794790882e-01       1.133244914670e+03 
       2.544531208651e-01       1.113236755105e+03 
       2.577267639703e-01       1.093112223070e+03 
       2.610004083535e-01       1.072373774551e+03 
       2.642740539670e-01       1.050726630564e+03 
       2.675477007652e-01       1.028051185997e+03 
       2.708213487051e-01       1.004401747195e+03 
       2.740949977455e-01       9.799759367386e+02 
       2.773686478470e-01       9.550892203926e+02 
       2.806422989725e-01       9.301382352713e+02 
       2.839159510863e-01       9.055602640894e+02 
       2.871896041544e-01       8.817810788455e+02 
       2.904632581443e-01       8.591590596256e+02 
       2.937369130251e-01       8.379547940593e+02 
       2.970105687671e-01       8.183001969439e+02 
       3.002842253420e-01       8.002086725211e+02 
