# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  153       5.835441258161e-10       1.335889187948e-13      -5.928781732227e-12       0.000000000000e+00       2.759981528749e-12       3.958258454748e-13      -3.583820493997e-15 
  154       5.879651343185e-10       1.328062987567e-13      -5.918681338985e-12       0.000000000000e+00       2.706054784959e-12       3.891937636021e-13      -3.528037070309e-15 
  155       5.923591430598e-10       1.319753692231e-13      -5.905421547495e-12       0.000000000000e+00       2.653564099223e-12       3.827123983064e-13      -3.472529133529e-15 
  156       5.967249240553e-10       1.310977702315e-13      -5.888969343154e-12       0.000000000000e+00       2.602451565497e-12       3.763666509568e-13      -3.417156431375e-15 
  157       6.010612176117e-10       1.301752495350e-13      -5.869293212971e-12       0.000000000000e+00       2.552652198549e-12       3.701401698905e-13      -3.361768916004e-15 
  158       6.053667317685e-10       1.292096642696e-13      -5.846363180441e-12       0.000000000000e+00       2.504093793269e-12       3.640153271118e-13      -3.306206567197e-15 
  159       6.096401417400e-10       1.282029826220e-13      -5.820150840412e-12       0.000000000000e+00       2.456696783963e-12       3.579731949900e-13      -3.250299215534e-15 
  160       6.138800893566e-10       1.271572854965e-13      -5.790629393967e-12       0.000000000000e+00       2.410374103663e-12       3.519935229578e-13      -3.193866365576e-15 
  161       6.180852562708e-10       1.260747235111e-13      -5.757773570267e-12       0.000000000000e+00       2.365048755512e-12       3.460594435887e-13      -3.136760637084e-15 
  162       6.222545920229e-10       1.249573802073e-13      -5.721559311111e-12       0.000000000000e+00       2.320708568532e-12       3.401721074308e-13      -3.079002777012e-15 
